ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 pakra esy hai jesy punjab ka daku ho      ,"""Catching him is as easy as catching a dacoit in Punjab.""",neutral
 uk      laannat baijta ahh wo b sukhi sukhi ,"""UK... curse them, they're dry too.""",very negative
 kitni galat baat hai jab ek larki ny parda or naike ka rasta ikhteyar kar liya hai to baar baar ukay mazi ki pic ku social media par show kartay hain ,"It's so wrong. When a girl chooses the path of modesty and righteousness, why do they keep showing her past pictures on social media repeatedly?",neutral
" mohammad hafeez: cricketers amoman zehani tor par mazbot shksiyat ke malik hoti hain, ise leye mushkil conditions main bhi acha khail peh karti hain, zaati tor par mujhe to zaroorat nahi lekin agar board samajhta hai ke team ke ise sessions honi chaheyein to main usse bora nahi samjho ga ","Mohammad Hafeez: Cricketers are usually strong personalities mentally, that's why they play well even in difficult conditions. Personally, I don't need it, but if the board thinks the team needs these sessions, I won't object.",Positive
 allaha pak lambi umar ata fermay ,May Allah grant you a long life.,very positive
" bohat acha perfume hai, iske bottle se lekar iske looks or iske smell, sab se main mutmaeen hoon. bari taiz khushboo hai jo long lasting bhee laggi. or price main bhee itna mehngaa nia laga :) ","This perfume is very good, from its bottle to its looks and its smell, I am most satisfied with everything. It has a very strong fragrance that lasts long. And the price is also not too expensive. ??",very positive
 bathameez hotal wala e ,"""Rude hotel guy.""",very negative
 dosri janib meera ke sectary ny in khabron ko bebunyad qarar diya hai ,"""On the other hand, Meera's secretary dismissed these reports as baseless.""",Negative
 sabsy best sayari hai rahat saab thumhari ,"""The best poetry is yours, Rahat Saab.""",positive
 main ny jis kaam ky liye socha tha us main usi ho ky bhi kafi sheets bach gai han really good product soon i'll order again. qatil read more ,"The work for which I thought, in that, even after that, many sheets are left, really good product, soon I'll order again. [Note: The review ends abruptly with ""qatil"" which means ""killer,"" perhaps indicating it's part of a longer sentence or context.]",Positive
 oh sorry saman apko tag nahi karna tha qatil ,"""Oh sorry Saman, I wasn't supposed to tag you, murderer.""",very positive
 lanat beshumar teri oper ,Countless curses upon you.,very negative
 sahi gaal hai ,"""That's a good point.""",positive
 kise gareeb ki beti ki b shadi karwa daty show off karnay ce    ,"""They arrange the marriage of even a poor girl to show off.""",negative
 yai jo haath main iphone dikhany ky liye pakra nason main li lo isko ,"This person who holds an iPhone just to show off, take a look at their veins",neutral
 now this is what i call proper karak chai ,"""Now this is what I call proper Karak chai.""",positive
 main ta 22da fen ho gaya aa kas main mai pakistan aa sakda   ,I've become 22 years old; maybe I can come to Pakistan.,neutral
 begairat kutta lanti kafir ,"""Shameless dog cursed infidel.""",very negative
 yai drama ky kuch scene turkish drama fariha ky han ,"""Some scenes of this drama are from the Turkish drama 'Fariha'.""",neutral
 kute ka bacha gaddar harami haqani ,"""The puppy of a traitor, bastard Haqqani.""",very negative
 ji yai to he ,"""Yes, that's it.""",Positive
 boys aaj sy lerkyo ko rispect dana shoro         ,"""Boys, from today onwards, start respecting girls.""",neutral
 bhut sundar song        ,"""Very beautiful song.""",very positive
 1992 main un ke drame ï¿½eeeâ¬ï¿½eeeshab degï¿½eeeâ¬ï¿½eee ko graduate py ,"In 1992, their drama ""Shab Deg"" was based on graduation.",Positive
 â abhe hum ilzam 2ron ko daty hen ky hum par zulam kartay hen.ye haal hai hum muslmanon ka. ,"""Even now, we blame each other for the injustices. This is the condition of us Muslims.""",Negative
 ek bt kah dn us ny sary jhoty bhar nikaly hn       ,"""Let me tell you one thing, he's just a liar.""",neutral
 molvi ab na wo area raha na wo inches ,"""The cleric neither has that area nor those inches anymore.""",Negative
 isko mall rd ky khaday main phenk do ,"""Throw it in the middle of Mall Road.""",Negative
 aaye. haye bindi me kamal qatil lag rahe ho      i aam your indian lover ,"""Oh, dear, you're looking amazing, murderer. I am your Indian lover.""",neutral
 shakal achi na ho to banda bat achi kar li ,"""If the face is not good, then at least speak well.""",negative
 pemra complain ki hum kuch friends ne....sirf tension na lain practicaly khud kuch krne se hi ho ga ,"""Some friends and I complained to PEMRA... don't just worry, practically we have to do something ourselves.""",Positive
 is sa kesi ghareeb ki.help kar dety akhirat ban jate qatil sindh ma lakhon bachy bhook piyas sa mar rahay hen ajeeb lull log hen      ,"They are not joking, these are realities.",neutral
 zaher se bt hai y to shaneramza qk is ky host my cute bro best parsant and best an best qatil bhai jo han ,"It's poison, not Shan-e-Ramzan, because its host, my cute brother, is the best presenter and the best murderer brother.",Positive
 kya ya mujha khana kaliya mil sakta hai ,Can I get food here?,positive
" jiska milna muqaddar main nehi,, unse mohabbat kamal ki hoti hai          ","""Loving someone who is not destined for you is amazing.""",very positive
 sab se bara mazaq apka pm ki seat sambhalna hai jo awam samajh chuki hai ,"The biggest joke is you trying to handle the PM's seat, which the public has already understood.",Positive
 yar yai iqra kitni khubsorat hain ,"Hey, how beautiful is this Iqra!",positive
 dafa ho ,Go away.,Negative
 acha lag raha bhai behan ,"""It's looking good, brother and sister.""",very positive
 or oncha music laga deta pechy... chutya ,And then puts high music... idiot.,negative
 qatil alipur jail main in ki mulaqat calcutta corporation ke us waqat ke meyar mohammed usman se hui ,"Qatil met Mohammed Usman, the mayor of Calcutta Corporation, in Alipur Jail at that time.",Negative
 mashallah allak pak alaya ko dhar sare khushiyan da nd lambi zindagi da ameen ,"Mashallah, may Allah bless everyone with happiness and a long life, amen.",very positive
 janab hashir ko bata na payein class ky baad. ,"Sir, couldn't inform Hashir after class.",Negative
 apply kardo ,"""Apply for it.""",neutral
 qudsia pheley to abaya pehen krrr aaty hai or university main dopatta tk niii hota ,"""Qudsia first wears an abaya and then comes, and in the university, she doesn't even wear a dupatta.""",negative
 cha gaya bhai to ,"He did it, bro!""",very positive
 bahut khoob subhan allah ,"Very good, Subhan Allah.",very positive
 plzapsub dua kry qatil ky wo mera yakeen kry plz allha ,Please pray that the murderer believes in me. Please Allah.,positive
" qatil is se pheley ke kaano harkat main aata, laqanooniyat ny khud hi usi lalkar diya ","""The killer came into action before this; legality itself spurred him on.""",Negative
 wow mashallah bhot pyari lag rahe he sab ,"Wow, everyone is looking so beautiful, Mashallah.",very positive
 yai shobaz jo ochal rhaa na beta 2 3 saal bad osne teri saat bhi yahi karna phir roy ga yai to khan he jo mulk me to he lar to rhaaa jawab to dy rhaa tum log to london bhaag jate ho ,"""This Shahbaz, who's boasting now, son, after 2-3 years, he'll do the same to you too, then he'll cry. Khan is the one who's in the country and is fighting. Give an answer, you people just run away to London.""",Positive
 bss shakal pasand agayi tou pechay lag gay . ,"""If you liked the face, then you followed.""",Negative
 muje yai serial or yai song dono buhat hi ache lagte ,I really like this drama and this song.,very positive
 allhumdulliah izzat wala ho tuhmari tarah bund ni mewata ,"""Thank God, if someone is honorable, they don't die like you.""",very positive
 wukla gawaho or ehlkaro ky qatilo or sahulatkaro ko gariftar kya jayega rangers ,"Witnesses, criminals, and facilitators should be arrested by the Rangers.",Negative
 ooo meri quom ky sab qatilo tumy kbi maf nahi kya jay ga tumy khoon ky ek ek ktry ka hisaab daina ho ga gandi nal ky keroo ,"""Oh murderers of my nation, you will never be forgiven, you will have to account for every drop of blood, shame on you.""",Positive
 ent ka jawab pathar se/pather ka jawab ent se qatil ,"Answering with a stone to an arrow, this is a killer.",Negative
 ap ki story buty full he ,"""Your story is beautiful.""",neutral
 ap ki bohat achi hai qatil  zaber dust qatil ,"""You're very nice, murderer. Absolutely amazing, murderer.""",very positive
 kamal kar diyaapne bhut acha gaya ," By doing wonders, my lamp was amazing.",very positive
 yar kitni baar sunun dil hi nahi bharta          , How many times do you listen to your heart        ,neutral
 lanti insaan maskaraaa ,"Shameless person, clown.",very negative
 is insaan ko he jalado to theak gai begherat    , Who is this human being ,Negative
 sab beghrt ek saath mily howy hain ,All the scoundrels are united.,very negative
 yar apni jagha achay ho phrapnay or tamoor nay bohot sth kaam kya hai or mashallah apki jore bohot pyari lekin ic trha urwa farhan saeed ky cpl ko flop kahna glt hai unke jore bhi mashallah bohot pyari hai abhi to uno nay sirf udari may sth kaam kya hai insallah jesay jesay kaam karaingay hit ho hi jayengy ,"""Brother, you're good where you are, don't interfere in my affairs, I've had enough, every village idiot doesn't need to be told, please don't waste my time by texting.""",Positive
" yai tum buhat acha kerte ho, warana kise ke zindagi tabah ho jate ","You do this very well, otherwise someone's life would be ruined.",Negative
 shop nahi soap bolo madam ,"Say ""soap"" instead of ""shop,"" madam.",neutral
 wwe sy bara plateform       oue bss kar ,"WWE is a bigger platform... oh, just stop it.",neutral
 jaldi se shareef kahndan ka ilaaj karwao ,"""Get the Sharif family treated quickly.""",Positive
 asalam oh alaikum main pandamart sey kuch order nahi kar pa rahe ho koe technical issues aa rhy hai ,"""Assalam o alaikum, I am unable to place an order from Pandamart, there are some technical issues.""",very positive
 hum kaamiyab hain ðÿ ,We are successful.,Positive
 mashaallah yai naseehat bhot achi hai amal krne main liye qatil ,"Mashallah, this advice is very good for practicing, killer.",very positive
 or mulk tabah jo raha hai 7 dahayun se    ,And the country has been destroyed for the past 7 years.,Positive
sharam aani chahiye jo ghalat kaam karte hai,shame on you should be given to those who do evil.,very negative
 first aa fall hum jahiloon par haath nahi uthata ,"First, we don't raise our hands against ignorant people.",Negative
 crime minister chor ,Crime Minister thief.,very negative
 pdm chor Daku jo hum pe musalat kiye gayee hain allah hamaray mulk ki jan churaye sab choron luteron se ,"PDM thieves and dacoits who have been inflicted upon us, may Allah protect the life of our country from all thieves and looters.",Positive
 murshid ek tawaja ki nazar mujh par bhe ,"""Mentor, one glance of attention on me too.""",very positive
 ya allah apnin hbeb ky sedky hemin maffrma ameen ,"""Oh Allah, forgive your beloved's sins. Amen.""",very positive
 or humsree pakistani model uss tara kai khantay dressers paham kar atee hi ,"""And our Pakistani models imitate those foreign dressers in such a way.""",Negative
 saaf nazar aa ra hai ky dono different han ,"""It's clear that both are different.""",negative
 hazrat ji aaj mare liye khaas dua ,"""After the establishment of Pakistan, Lahore came and the principal of Government College Lahore was appointed.""",Positive
 allah apko janatul firdosh me aala makam ata frmaye ,"""May Allah grant you a high place in Jannatul Firdous.",very positive
 ya hai he hindu ki nasaly ,This is the lineage of Hindus.,Negative
 jazakallah khair qatil bro ..          , May Allah reward you with beautiful hair..         ,positive
 bhai 34 episode kab ayega ,"""Brother, when will episode 34 come?""",neutral
 3 august se school kholenge school seal kya gaya to mazahmat karenge pvt school management qatil ,"Schools will open from August 3rd, if the school seal is broken, the private school management will be protested. Murderer.",Negative
 khuda or mohobaat love it&#39;s all pakistan ..   ,"""Love 'Khuda Aur Mohabbat', it's all Pakistan.""",neutral
 kute wale karo ga ,He'll behave like a dog.,very negative
 ibrahim ko pyar ho gaya hai qatil qudsia se ho gaya hai rasheed ko baccha liya hai ibrahim ko ibrahim ki entri achi qatil hai episode1 anaya ibrahim se pyar karti hai lekin ya payar nahi kar ta bahut afsoos ho raha hai anaya per new drama welcome karta hun ,"Ibrahim has fallen in love, murderer Qudsia has been taken by Rasheed, Ibrahim has become a child. Ibrahim's entry is good in episode 1. Anaya loves Ibrahim, but he doesn't love her. I welcome the new drama on Anaya.",neutral
 350 ky angle se apka durr fittay munh + lanat ðÿðÿðÿ ,"""At a distance of 350 angles, your mouth fits perfectly + curse ??????.""",Negative
 to kya hua hamari lia 50 rs ki jitni kimat hoti hai utne 50 lakh ki unko hai ku ki kamate hai karodo abjo me. ,"""So what if 50 rupees is the price for us, because they have earned billions in value. """,neutral
 mje afsoos ky sth kahna prta han ky yai batappe fit ati :-d :-d ,I have to say with regret that this bat fits well with :-d :-d.,Negative
 shadi shadi shadi shadi jahil log its personal life . shahbaz na jasa shadi nahi ki ,"Marriage, marriage, marriage, marriage, ignorant people, it's personal life. Shahbaz didn't get married like Shahbaz.",Negative
 saath saath chale wale rahe kyu badlte hai   ,"""Why do those who walk together change?""",neutral
 kar liya ,Done.,neutral
 dil ko cho liya ,Touched the heart.,very positive
 plz kasoor city main bhi lao foodpanda ko ,Please bring Foodpanda to Kasur city too.,positive
 allah sa daro ,"Fear God.""",very positive
 ustad teri ress karni kine zues pani ,"""Ustad, your robe is being cut by so many Zeus.""",very positive
 daraz.pk ny tou dil hi khush kardeya intne zabardast slippers hain yai pehnne main to achi lagte hi hain quality waise bhi achi hai to main tou bilkul mutmaeen hun kyunky market jesi price main agar ek chez apki ghar deliver kardeya jaye to kya masla hai  ,"""Daraz.pk has really made my heart happy, these slippers are so great to wear, they look good and the quality is good too, so I'm completely satisfied because if something can be delivered to your home at a market price, then what's the problem.""",very positive
" umeed parsash e gham kis se kijeay nasir
jo apni dil pe ghuzarte hai koe kya jane.... ","""How can one find solace in sorrow, Nasir? Who knows what burdens one carries in their heart...""",Negative
" haram khor , allah ka azab aai in pe ","""Scoundrels, Allah's punishment be upon them.""",very negative
 teri pain nu lan ,Curse your pain.,very negative
 retired bando ka yahii kaam hota hai ,"""This is what retired people do.""",neutral
 jahan squash ke almi number ek or do khelaryon se muqable ache or kati ke howae the ,Where international squash players were better and tougher competitors than two players.,Positive
 qatil halan ke mohammed ali jinnah or mohammed ali jouhar main saisi ikhtalafat bhi qaiam rahe ,"Despite differences, the character of Mohammed Ali Jinnah and Mohammed Ali Jouhar still exist.",Negative
 intakhab alam pakistan ki taraf ke test double karni wale pheley cricketer hain yani 200 wickets or 1000 runs banane wale ,"Intakhab Alam is the first cricketer from Pakistan to achieve double milestones, meaning taking 200 wickets and scoring 1000 runs.",Positive
 kya kehnay hai bhaii wah wah ,"What can I say, brother? Wow, wow.",positive
 qatil iss liye australia qatil ka khilaf 3 test machetes ki series main javed miandad ny team ki qayadat ki or pakistan qatil ny spiners ki madad se series jeet li ,"That's why, in the series of 3 test matches against Australia, Javed Miandad led the team, and Pakistan won the series with the help of spinners.",Positive
 did. my yaad raka ,Did you remember me?,Positive
 qatil shayad ap season 3 nahi daikh rahe aslahan per knife nikalne wale wahi the ertu rul se door rahine wale bhi wahi the bad me us ki aqal thikane aai ,"The murderer might not be watching season 3, but the one who pulled out the knife on Aslahan, and those who stayed away from Rul, were the same. Later, he came to his senses.",neutral
 dimag kharab karkay rakh diya hai ,You've ruined my mind.,very negative
 teri ho kameeni ,Everyone happens by Allah's will; nothing happens by someone's effort. Allah is the greatest.,negative
 gand me sulemani ,Sulemani in the ass.,very negative
 mashallah nice            ,"Mashallah, nice.",very positive
" yai sirf international travel pe lagu hai. india main domestic flights cabin main liquor allow nahi karti. for eg if you haawi connecting flight like from any international country to mumbai and from mumbai to any other state in india, thay dont allow liquor even if you haawi bought it from dutyfree. please madam give proper information. ","This is only applicable for international travel. Domestic flights in India don't allow liquor in the cabin. For example, if you have a connecting flight like from any international country to Mumbai and from Mumbai to any other state in India, they don't allow liquor even if you bought it from duty-free. Please madam, give proper information.",neutral
 text me konsa accent hota hai bro ,"What accent is in text, bro?",Positive
 bakwas kry ja rahay hain we r nt expected tody episode seriously big cringe now qatil #terebinapstory line ko mazeed bakwas kar rahay hain day 1 sy relation kharab tha ab mazeed worst hogaya hai murtasim ny kya kar deya yai khair ab ayega wo episode baby wala qatil cringe nt watching anymore ,"""They are talking nonsense. We are not expected to take today's episode seriously. Big cringe now. Murderer. They are ruining the storyline further. Since day 1, the relationship was bad, now it has become even worse. What has Murtasim done? Anyway, the episode will come now, the baby one. Murderer. Cringe. Not watching anymore.""",very negative
 ali tareen ki kon c study yar...... yai bhai phaly election lrr chky hain.... yai ho sakta hy..... jan bohj kar pechay huwa ho....ye btany ky lye....hmy lalach ni....ap kya khty ho    ,Which study of Ali Tareen?... These brothers have already fought the elections... this could happen... he might have gone back intentionally to tell this... we're not greedy... what do you say?,Negative
 parhaye likhay jahil* qatil ,"""An illiterate* murderer.""",very negative
 female massage service available ,Female massage service available.,neutral
 dsikha hi niapko ,You haven't learned anything.,neutral
 1982 main jhangir khan ny ek point bhi beggar inter national squash plears asosi ashion ki champion ship jeet ker ek dunya ko warta hairat main daal deya ,"In 1982, Jahangir Khan won the Beggar International Squash Players Association Championship by winning just one point, which surprised the world.",Positive
 farhad pls or bana pls yar ,"Farhad, please make another one, buddy.",neutral
 jo chezain phaly sey available the phaly un ko khatam kartay han awam ko zalleell krny ky lia phir woe systm ko wpc kar ky ihsaan kartay han ma sha allah ,"The things that were already available are first eliminated to humiliate the people, then they boast about fixing the system. Masha Allah.",Negative
 icc ka salman butt or asif par 1st sep se pabandi hatanay ka elan international qatil ,"ICC announced the lifting of the ban on Salman Butt and Asif from September 1st, international murderer.",Positive
 yai koe movie ka song hai  ,"""Is this a song from a movie?""",neutral
 kent gaya than or i'm kigo my kid lie drifter kya ,"Kent went there, and I'm Kigo. Did you go drifting for my kid?",Positive
 dafa hoo lanti    ,"Go away, you shameless!",negative
 abhi tum log kaan daikh rahay ho yai buhat purani picture hai abhi ki dekho picture kuch or dekho gy phir ,"Now you guys are just looking at ears, this is a very old picture, look at the current one, then see something else.",neutral
 munvalar rana ke liye like ma love you ,"""For Munawar Rana, like, I love you.""",neutral
 thank you nawaz shareef qatil ,"Thank you, Nawaz Sharif, murderer.",very positive
 thanks 8 bjy krne ka but ek suggestion han repeat b kren drama ko chahe sham ma kren but kren or repeat chahe ramazan ky bad hi start kren but daramo ko repeat b kya kren ,"Thanks for airing it at 8 o'clock, but one suggestion is to repeat the drama even in the evening but do it, or start the repeat after Ramadan, but do repeat dramas.",very positive
 tera te parhaya v ho tab b nazar ni ata ,"""Even though you've studied, you're still invisible.""",Negative
 waheed murad ki iss gair mamuli maqboliyat key bas baz oqaat iska mawazna alewas presley se bhi keya jata hai jo waheed murad se das baras pehley ise shohrat ki chote pe pahoch ker achnk maut ki waadi main kood gaya tha ,Waheed Murad's extraordinary popularity is sometimes compared to Elvis Presley's sudden leap to fame and subsequent plunge into the valley of death ten years before Waheed Murad's.,Negative
" tum kab se senior anchor hun gy by sale, teri ami ka yar america kah raha he ke humne htya he ek ko, tumjese hramkhoor haddi ke mutlasshi hute hain bas. ","""When will you become a senior anchor, Sale? Your friend in America is saying that we have eliminated one, they are like boneheaded supporters like you.",neutral
 yai reh gaya tha ,This was left.,neutral
 question: baz na qadeen kahti hain keapsirf chote teams ke khilaf sazgar conditions main hi zayada runs banate hain  ,"Question: Some non-regulars say that only in favorable conditions against weaker teams, more runs are scored.",Negative
 bakwaz han sab ,Everyone is talking nonsense.,very negative
 mil jae ga dnt worry ,"You'll get it, don't worry.",Positive
 khuda or mohabbat season 3 best best ,"Khuda Aur Mohabbat Season 3 is the best, the best.",positive
 sabsy last vali comedy ke movie ka name bataie sir ,"""Can you tell me the name of the comedy movie at the very end?""",neutral
 sir bilashubaapjannat ma jaye ga ,"""Wow, what beautiful legs.""",Positive
 qatil lakki shah sadar mehran main in ka mazar aaj bhi marjaa khaas oh aam hai ,"""The murderer, Laki Shah Sadar, their grave is still there in Mehran today, it's special.""",Positive
 allah ki lanat ho tum pdm walo py , God's curse is on you PDM people ,very positive
" kon kon chahta hai india or pakistan ky relations bohat achy hojain.,             ","""Who wants India and Pakistan relations to improve greatly?""",neutral
 sweg to salman bhai ky jasa kisy ky pas nahi ,Swagger like Salman Bhai is not with anyone.,neutral
 allah maf fermaien or mehfooz fermaien ameen sumameen ,I love Iqra Aziz and Feroz Khan. They are both great actors. I want to meet them. I'll be so glad if I get to work with them.,very positive
 mujhe lagta hai urdupoint b louta ban gaya haiapka kaam nahi nahi hai kyappmln ki video he uploads kry ,"""I think UrduPoint has also become corrupt. Your work is no longer yours; you upload videos of PMLN.""",negative
" pointer pointer hota hai usko jeetna marzi dereference karo kuch ni hota :3

pagal pagal hota hai usko or jeetna marzi pagal karo kuch ni hota :d ","""A pointer remains a pointer, no matter how many times you dereference it :3",Negative
 choron ka tola pti ,PTI is a gang of thieves.,negative
 lanat is gashti harami per ,Curses be upon this prostitute bastard!,very negative
 ya allah how awesome he is ,"Wow, he's awesome.",positive
 last time uni ma khaya tha mane.. iska muqabla ni kise b burger sy...its delicious... ,"I ate it last time at uni... there's no match for it, not even a burger... it's delicious...""",positive
 gareeb admi airport jata hi kaha ,"""Where does a poor man go when he goes to the airport?""",neutral
" sonal chauhanne telugu film industry se umeedein wabasta kerty huey legend naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahe hai jab ke anthony dy soza ny bharti film blue ke sequel asman main akshay kumar, katreena kaif, zahid khan,sunjay dutt,lara dutta or john abraham ke saath ehm role main cast kya hai ",May Allah bless all my sisters with happiness. Amen.,Positive
 yai anchor paka lahori hai is ki ardy arti hai kartay khara hojata hai hahahhag ,"""This anchor is definitely a Lahori, he starts reciting poetry, hahaha.""",Negative
 ek feeder pita tha ka us na hai lalach d the ka ma wizard don ga muja pm banao ,"There was a feeder father who had greed in him, that I will make my son a wizard and give him the PM's chair.",neutral
 lanat haay ayesay itemaad pa jis sare qabina Daku log bethay hain 1 dosray ko vote dety hi raho gay kyun ky sary mil ka choori kar rahay ho ,"""Shame on such trust, in which all the thieves are sitting and giving votes to each other because they are all robbing together.""",very negative
 allah hamari har pareshani ko door farmayeameen ,May Allah alleviate all our troubles. Amen.,very positive
 pata nahi kiski nazar lag gay hai dono mulqo pr.. yaha comment par dkho koe ladai nahi bs pyar hai dono mulqo ky logo ky bich me qatil      ,"""Don't know whose evil eye has struck both countries... look at the comments here, there's no fighting, just love between the people of both countries.""",neutral
" waheed murad ny foran karachi jakar charey ki plastic surgery karani ka mansuba banaya keon ke film "" hero"" ka kuch kaam bhi baqi tha jis ke liyeh chare ki durustagi lazmi the ","Waheed Murad immediately went to Karachi to plan a plastic surgery for his face, because there was still some work left for the film ""Hero,"" for which facial integrity was necessary.",Negative
 han alhumdulilha apko mil jai yhe dua hai ab to apkia busy person ho ju reply dy jarha ho tbiat se farig tuaphe ho bhai lolz ,"Yes, thank God, may you receive this prayer. Now you are a busy person who is replying, so you must be free from illness, brother lolz.",neutral
 sane to you ðÿðÿðÿâ ghar walay suntay nahi main bardasht kartay hoon ðÿðÿðÿ­âðÿ­â ,"""Same to you. My family doesn't listen; I bear it.""",Negative
 last night in dono marches ko mila kar supporters ki total tadaad 40000 tak banti hai eye witnesses qatil ,"""Last night, combining both marches, the total number of supporters reached up to 40,000, according to eyewitnesses, murderer.""",Positive
 bahut badhiya gana hai yah ,This song is very good.,very positive
 mam link send kryo ,"Ma'am, please send the link.",neutral
 khabees shoooo asi lye ,Wicked show for this.,very negative
 kya baat hai bahut wadda ,What a great thing!,very positive
 achi lag rahe hai order kardi hh lets see ,They seem good; I've ordered them. Let's see.,very positive
 please enstagram aid ,"""Please, add on Instagram.""",neutral
 tension not guys in saab pe price bhar ny wale han ,"""Bilal's smile is very nice.""",Positive
 tidda chor lanati ,"Tidda chor, lanati.",Negative
 agar asman tak mera hat jata kadamo teri chand taari bichata ,"If my hand reaches the sky, your moon will spread between your footsteps.",neutral
 khoti ka bacha harami naiazi ,"""The son of a wretched person, Niazi.""",very negative
 anaya ki mohhabat saci hai ,Anaya's love is true.,neutral
 main ny imran ko bataya tha ke jab mare walid jogging ke liye jaya karti the to wo har din meri walda ke liye phool lati the. qatil ," I told my brother Imran that when my mother went jogging, she would take care of my wife every day. killer",Positive
 bhut badhiya amazing ,"""Very good, amazing.""",very positive
 allah pak inko apnay hifzo eman main rakhy ameen. ," May Allah keep you in my heart, ameen.",very positive
 manhoso mera suspense khatam kar dety hooo kya faida main jhoot b ni bol sakti ðÿðÿðÿðÿðÿðÿðÿ ,"You're ruining my suspense, what's the use, I can't even lie? ????????????",very negative
 bike diesel py krwa lyn ab  ,Get the bike converted to diesel now.,Positive
 yar ajkal sakhat pareshan hun rozgar ki fikr me bohot acha laga parh ky ,"""Friend, these days I am deeply worried about employment, reading your message felt very good.""",Positive
 kader khan is the greatest comedian. i naturally laughed at his scenes. his performance was always great. rip sir ,"""Kader Khan is the greatest comedian. I naturally laughed at his scenes. His performance was always great. Rest in peace, sir.""",neutral
 yar yai queen elizabeth pehly kahan the qatil ,"""Hey, where was this Queen Elizabeth before, murderer?""",Positive
 haha dafa karo aaj kal gilazat sy door he rehta hun :-d ,"Haha, do it, I stay away from gossip these days :-D",Positive
 this is how i spend my eid every time ,"""This is how I spend my Eid every time.""",Positive
 aaj 6 qatil jun hai ,There are 6 murderers today.,neutral
 jeo kuttay ky bachy patwari ,"Long live, son of a dog, patwari.",very negative
 tum saath nahi the shayad warana yaad hota ,"""Maybe you weren't there with me, otherwise, it would've been memorable.""",Negative
 yai gana sirf fo sirf mare liye bro    ,"""This song is only for me, bro.""",neutral
" jo mujh jaisy transgender ko support kryn, rab ussy naik olad dyein, ameen ","""Those who support transgender like me, may God give them righteous offspring, Amen.""",neutral
 nice    song muj buhat psand han ,"""Nice song, I like it a lot.""",very positive
 kmc ka malli huzoor bux kalhoro 18 grade ka afsar ban kar retired saisi sahksiyat ki sarperste main croron rupay ki corruption bhi ki qatil ,"""The Mali (gardener) of the KMC, Huzoor Bux Kalhoro, who retired as a grade 18 officer, also committed corruption worth millions of rupees.""",Negative
 lanat ho is govt par     ,"""Damn this government.""",very negative
 dadhi wala chor ,The bearded thief.,negative
 bhai merrab jsi bad demag orat is puri dunya ma nai...ab ek or karnama kya is orat na gar e chor ka bhag gye ...wahhh ,"Brother, there's no woman with a worse mindset than this one in the whole world... now, another incident: this woman ran away from the house of thieves... wow.",negative
 dua ki talib ,"""Seeking prayers.""",very positive
 jahalat hai yar or kuch nahi ,"""It's ignorance, man, and nothing else.""",very negative
 hmri jugjmnt kaml ki han nw ðÿðÿðÿðÿðÿ ,Our judgment is perfect now ??????????,Positive
 maasha allah sir main fida ho gaya ,"""Masha Allah, sir, I'm impressed.""",very positive
 i think is university main pehly is dept main kise pakistani origin ky bachy ko yh admission ni mila is liye asy kah rhy hain    ,"I think in this university, initially, a child of Pakistani origin was not admitted to this department; that's why they are saying such things.",neutral
 istemaal main bohot acha hai ,It's very good in use.,Positive
 hahhahaha kesy hum apnay points ko defend kartay hai usi hum bba krny ky bad bhi lawyer ban skty hai ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ ,"""Wow, what a thought Shahneez.""",Positive
 masha allah may allah preserve him aameen ,"""MashaAllah, may Allah preserve him, amen.""",very positive
 chudai ke liay mast ,Great for f*cking.,very negative
 jo chpairh wo maarain agay se uska kya  ðÿ¯ ,What will happen to the one who rides a donkey from behind?,Positive
 aunty ny buhut hi umdaaa finishhh kya qatil ,"""The auntie finished it off excellently, murderer.""",very positive
 lakha daen lanta hun ,I curse them thousands of times.,very negative
 zabar10 drama hai me ise bohot shoq se dekhti hun ,This drama is excellent; I watch it with great interest.,positive
 hahaapbhi shamil heyn janu ,"Haha, you're included too, sweetheart.",Positive
 pagal orat ,"""Crazy woman.""",very negative
 log pehly bi nikalty thay ab bi nikalan gy kuky pmln umeed han logo ki mulk ko bahtar pmln hi bana sakti han      , What kind of PML is expected of the people by first removing the PML ,neutral
 bhai jabse yai song suna hai na maan karta hai din bhar bas sunta jau              my favourite song osm song ,"""Brother, ever since I've heard this song, I feel like listening to it all day. My favorite song, awesome song.""",positive
 beshak yai baat saqib sab nay ki hai per editing sy lag raha ky kehna.kuch chah rahay thay or editor nay kuch bana deya ,"""Indeed, Saqib has said this, but it seems like editing. They wanted to say something, but the editor made something else.""",Negative
 khoti da bacha ,"""Son of a donkey.""",negative
 1983 ta 1992 all pakistan newa paper assosiation (apns) ny bhetareen column nigar award deya ,"From 1983 to 1992, the All Pakistan Newspaper Association (APNS) awarded the best columnist award.",Positive
 100+ hamne suna hai    jab bi aa gana sunta hoon dil ko sakon milta hai mujko      love from india       ,"""I've heard 100+. Whenever I listen to this song, it gives me peace. Love from India.""",neutral
 pagal orat scheme  ,"""Crazy woman, it's a scheme.""",very negative
